ID,"First Name","Last Name","Book Name",URL,Publisher,Translator,"Additional Info","Publication Month","Age Recommendation",Description,Season,"Date Added"
11;Colleen;Hoover;"Ainoastaan sinä";;WSOY;"Laura Liimatainen";;huhtikuu;;"Perhettä koossa pitänyt isä kuolee auto-onnettomuudessa ja äidin ja tyttären on löydettävä oma tapansa selviytyä surun keskellä. ";k2025;25.10.2024
12;Ossi;Nyman;Alkuhuuto;;Teos;;;tammikuu;;"Autofiktioistaan tunnetun kirjailijan kolmiodraama toivosta ja uskosta.";k2025;26.10.2024
13;Elena;Armas;"Amerikkalainen kämppiskokeilu";;Gummerus;"Inka Parpola";Viihdekirjallisuus.;huhtikuu;;"BookTok-hitissä haetaan inspiraatiota heikosti sujuvaan uraan viihdekirjailijana. Itsenäistä jatkoa Rakkausjuttu espanjalaisittain -kirjalle.";k2025;1.11.2024
14;Anna;Jansson;"Antakoon ikuisuus anteeksi";;Gummerus;"Sirkka-Liisa Sjöblom";"Dekkari. [Kristoffer Bark -sarja](https://www.kirjavinkit.fi/sarjat/kristoffer-bark/).";helmikuu;;"Sarjan viidennessä osassa Bark tutkii suosta löytyneen kuolleen vauvan tapausta.";k2025;1.11.2024
15;;;"Anteeksi, en tarkoittanut";;Reuna;;"Novellit. Dekkarit.";heinäkuu;;"Kouvolan 29. dekkaripäivien novellikilpailun parhaat novellit.";k2025;25.10.2024
16;"C. L.";Miller;"Antiikin metsästäjät : Kuolema Punaisellamerellä";;Otava;"Antti Autio";"Dekkari. Antiikin metsästäjät -sarja.";maaliskuu;;"Hyvän mielen dekkarisarja purjehtii ylellisellä antiikkiristeilyllä, jossa laivan galleria onkin täynnä varastettua antiikkia.";k2025;30.10.2024
17;;Aristofanes;Aristofanes;;Teos;"Maarit Kaimio, Liisa Kaski, Tua Korhonen, Tommi Nuopponen, Erkki Sironen, Vesa Vahtikari";"Näytelmät. Antiikin draamat -sarja.";huhtikuu;;"Suomennokset näytelmistä Akharnalaiset, Ratsuritarit, Ampiaiset, Rauha, Naisten kansankokous ja Rikkaus.";k2025;26.10.2024
18;Anna;Järvinen;Arvaamaton;;Teos;"Raija Rintamäki";;huhtikuu;;"Autofiktiivinen, kielellisesti herkkä romaani äidin muistisairaudesta.";k2025;26.10.2024
19;Petri;Merenlahti;Arvoitus;;"Basam Books";;"Runot. Puhuttava runo -sarja.";kesäkuu;;"Runoja kuolemasta ja surutyöstä. Kun Tuonelaa ei enää ole, miten muistoissa ja mielikuvituksessa asuvien poisnukkuneiden kanssa tehdään sovinto?";k2025;6.11.2024
20;Leena;Ståhlberg;Askelmerkkejä;;"Momentum Kirjat";;;helmikuu;;"Romaani oman tien kadottamisesta ja sen löytämisestä";k2025;21.12.2024
21;Ivan;Maniraho;"Auringon syy";;Like;;;helmikuu;;"Kuriton esikoisromaani ruandalaispojasta, josta kasvaa pohjoishaagalainen Elias.";k2025;29.10.2024
22;Anna;Stuart;"Auschwitzin orpotyttö";;Into;"Kirsimarja Tielinen";"Historiallinen romaani.";helmikuu;;"Auschwitzin kätilön kirjoittajan uusi kirja kertoo rakkaudesta, toivosta ja selviytymisestä.";k2025;11.10.2024
23;Holly;Gramazio;Aviomiehiä;;Docendo;"Riina Vuokko";Viihdekirjallisuus.;maaliskuu;;"Hauska, herkkä ja älykäs esikoisromaani Tinder-sukupolven mutkikkaista parisuhdekuvioista. ";k2025;25.10.2024
24;Isabel;Nylund;"Avoimesti sinun";;Gummerus;"Markus Myllyoja";;maaliskuu;;"Romanttinen komedia parisuhteen avaamisesta 2020-luvun Tukholmassa.";k2025;1.11.2024
25;Mikko;With;Banaani;;Myllylahti;;"Dekkari. [Murhamylly-sarja](https://www.kirjavinkit.fi/sarjat/murhamylly/).";huhtikuu;;"Nuortenkirjoistaan tutun Within mustan huumorin sävytteinen dekkari aikuisille.";k2025;27.10.2024
26;"Edgar Rice";Burroughs;"Barbaari ja keisari";;Oppian;"Jari Penttilä";"Historiallinen romaani.";tammikuu;;"Caligulan aikaan sijoittuva seikkailuromaani keisarin orjaksi joutuvasta miehestä.";k2025;25.10.2024
27;Hanna;Lantto;Bilbao;;Tammi;;;tammikuu;;"Nuori nainen lähtee vaihto-opiskelijaksi Bilbaoon ja rakastuu kaupunkiin. Baskimaassa hän ei ole liikaa, liian hankala, liian tilaa vievä. Hätkähdyttävä esikoisromaani itsemääräämisoikeudesta ja rajojen rikkomisesta.";k2025;25.10.2024
28;Ville;Hytönen;Bilbao!;;Aviador;;Runot.;maaliskuu;;"Bilbaosta inspiroitunutta proosarunoutta.";k2025;9.11.2024
29;Ulla;Rask;"Blanka, Itämeren tytär";;WSOY;;"Historiallinen romaani. Kylmä meri -sarja.";tammikuu;;"Täysiverinen 1600-luvun alkuun sijoittuva historiallinen seikkailuromaani, joka yhdistää Itämeren vilkkaita hansakaupunkeja, perhesuhteita ja ihmiskohtaloita.";k2025;25.10.2024
30;Elizabeth;Strout;"Burgessin pojat";;Tammi;"Kristiina Rikman";"[Keltainen kirjasto](https://www.kirjavinkit.fi/sarjat/keltainen-kirjasto/).";huhtikuu;;"Lucy Barton -kirjoista tuttujen Burgessin veljesten tarina ruotii kriisin vinouttamia perhesuhteita.";k2025;25.10.2024
31;Jonna;Järnefelt;"Casablancan rauniot";;Into;;"Vain äänikirja.";tammikuu;;"Tunnetun näyttelijän esikoisromaani, Pirjo Longan ja Ria Katajan lukema dialogiromaani.";k2025;11.10.2024
32;"Robert E.";Howard;"Conan ja synkkä uhka";;Oppian;"Tuomas Kilpi";"Fantasia. Selkokirja.";huhtikuu;;"Barbaarisoturi Conanin seikkailuja ensimmäistä kertaa selkokielellä.";k2025;25.10.2024
33;"Juan Díaz";"Canales ja Rubén Pellejero";"Corto Maltese : Elämänviiva";;Jalava;"Heikki Kaukoranta";"Sarjakuva. [Corto Maltese](http://kirjavinkit.fi/sarjat/corto-maltese).";huhtikuu;;"Laivattoman merikapteenin seikkailuja keskellä meksikolaisten kapinallisten juonitteluja 1920-luvun lopussa.";k2025;7.11.2024
34;Robert;Åsbacka;"De oförlösta";;"Schildts & Söderströms";;"Psykologinen trilleri.";maaliskuu;;"1900-luvun alkuun sijoittuva trilleri kietoutuu syyllisyyteen, vastuuseen ja kostoon.";k2025;5.11.2024
35;Giovanni;Boccaccio;Decamerone;;Tammi;"Ilmari Lahti ja Vilho Hokkanen";"Novellit. Maailmankirjallisuuden klassikot -sarja.";maaliskuu;;"Italialaisen renessanssikirjailijan maailmankuulu novellikokoelma ja novellitaiteen loistava perusteos ensimmäisenä täydellisenä, Ilmari Lahden ja Vilho Hokkasen taitavana suomennoksena.";k2025;25.10.2024
36;Julia;Chapman;"Deittimurhien arvoitus";;Gummerus;"Pinja Mikkonen";"Dekkari. Viherlaakson etsivät -sarja. Vain e- ja äänikirja.";joulukuu;;"Valloittavia hyvän mielen murhamysteerejä uneliaassa yorkshireläiskylässä.";k2025;1.11.2024
37;Barbara;Kingsolver;"Demon Copperhead";;Gummerus;"Antero Tiittula";;maaliskuu;;"Pulitzer-palkittu tarina orpopojan elämästä opioidikriisin varjoissa.";k2025;1.11.2024
38;"Janne ja Johnny";Ramstedt;"Det femte budorder";;"Schildts & Söderströms";;"Dekkari. Hanna Becker -sarja.";huhtikuu;;"Trilleriä ja dekkaria yhdistelevä tarina sijoittuu vahvasti Helsinkiin. Hanna Becker ratkoo kahta brutaalia rituaalimurhaa.";k2025;5.11.2024
39;Jen;"Besser ja Shana Feste";"Dirty Diana";;WSOY;"Outi Järvinen";"Dirty Diana -sarja.";kesäkuu;;"Rehellinen, suora ja tyylikäs; naisten kirjoittamaa, kipinöivän kuumaa kirjallisuutta naisten salaisimmista fantasioista.";k2025;25.10.2024
40;Karin;Collins;"Där jag har min hjärtans kär";;"Schildts & Söderströms";;"Historiallinen romaani. Hangötrilogien-sarja.";helmikuu;;"Elämää Hangossa 1940-luvulla Neuvostoliiton poistuttua, trilogian päätösosa.";k2025;5.11.2024
41;Nicoleta;"Esinencu ja teatru-spălătorie";Edistyssinfonia;;Poesia;"Tuukka Tuomasjukka";Näytelmä.;helmikuu;;"Moldovalaisen teatteriryhmän dokumentaarinen monologinäytelmä, jossa tullaan korona-aikana töihin Suomeen.";k2025;14.11.2024
42;Maiju-Sofia;Pitkänen;"Ehkä kaikki särkyminen";;Aviador;;Runot.;helmikuu;;"Postuumisti julkaistu esikoiskokoelma käsittelee äitiyden hellää mahdottomuutta ja kirjoittamisen välttämättömyyttä. ";k2025;9.11.2024
43;Minna;Lindgren;"Ehtoolehdon pakolaiset";;Avain;;"Selkokirja. Selkomukautus Anniina Salin.";toukokuu;;"Ehtoolehto-sarjan jatkoa selkokielisenä.";k2025;31.10.2024
44;Mai;Tolonen;Elin.;;Warelia;;"Historiallinen romaani.";helmikuu;;"Kirjeitä Amerikasta ja Siperiasta, Elin Granön kirjeiden perusteella syntynyt henkilöhistoriallinen romaani.";k2025;2.12.2024
45;Raija-Sinikka;Rantala;Elli;;Aviador;;Elämäkertaromaani.;tammikuu;;"Romaani kertoo 1900-luvun alkupuolen tunnetuimpiin näyttelijöihin kuuluvan Elli Tompurin (1880–1962) elämästä.";k2025;9.11.2024
46;"Gabriel García";Márquez;"Elokuussa nähdään";;WSOY;"Jyrki Lappi-Seppälä";;helmikuu;;"Postuumisti julkaistu yllättävä ja iloisen aistillinen romaani on syvällinen mietelmä itsensä löytämisestä ja rakkauden mysteereistä.";k2025;25.10.2024
47;Zoila;"Forss-Crespo Moreyra";Eloonor-ja-muut-yrtit;;Enostone;;Runot.;huhtikuu;;"Yhdistelmä runoja ja kertomuksia, inspiroituneena perulaisista tarinoista.";k2025;14.11.2024
48;Johanna;Aulén;"Eläimet lensivät ensin : Avaruusmatkailun uranuurtajat";;WSOY;;Sarjakuva.;maaliskuu;;"Avaruuden valloittamisen uskomattomat vaiheet, joissa Laika-koiralla ja muilla eläimillä oli tärkeä osansa. ";k2025;25.10.2024
49;Helena;"Kubicek Boye";"Ennen ensilunta";;"Saga Egmont";"Jaana Palanterä";"Dekkari. Anna Varga -sarja. Vain e-kirja.";tammikuu;;"Kirjasarjan avausosa nuoresta psykologista pahamaineisella oikeuspsykiatrisella klinikalla. Mikä erottaa pahuuden hulluudesta?";k2025;28.11.2024
50;Rebecca;Serle;Ennusmerkit;;Otava;"Eeva Parviainen";Viihdekirjallisuus.;tammikuu;;"Taianomainen tarina sinkkuudesta, rakkaudesta ja kohtalosta: aina kun Daphne Bell tapaa uuden miehen, hän löytää paperilapun, jossa on miehen nimi ja tulevan suhteen kesto.";k2025;30.10.2024
51;Jennie;Godfrey;"Epäilyttävien asioiden lista";;Publiva;"Kirsi Nisula";Dekkari.;maaliskuu;;"Salaisuuksia sarjamurhaajan piinaamassa pikkukaupungissa. Esikoisteos, lämminhenkinen tarina dekkarivivahteilla.";k2025;24.10.2024
52;"M. C.";Beaton;"Epäilyttävän eläinlääkärin tapaus";;"Saga Egmont";"Virpi Kuusela";"Dekkari. Vain e-kirja.";huhtikuu;;"Lannistumattoman Agatha Raisinin toinen tapaus hiljaisessa maalaiskylässä.";k2025;30.11.2024
53;Aaro;Ollikainen;Epäluulo;;"Momentum Kirjat";;Trilleri.;helmikuu;;"Psykologinen trilleri menneisyyden takertumisesta ihmiseen vastaanpanemattomalla voimalla osoittaa, miten kenen tahansa mieli järkkyy, kun kuormaa kertyy tarpeeksi. ";k2025;21.12.2024
54;Mikko;Räty;Erehtymättömyydestä;;Tammi;;Runot.;tammikuu;;"Runot liikkuvat metsästä kaupunkiin ja nykyhetkestä tulevaisuuteen sekä paljastavat, mitä jää katseemme ulottumattomiin ja selkämme taa.";k2025;25.10.2024
55;Emma;Ranta;"Ettemme huomista menettäisi";;"Saga Egmont";;"Viihdekirjallisuus. Vain e-kirja.";helmikuu;;"Koskettava tarina sairaanhoitajasta, joka rakastuu kuolemansairaan potilaansa mieheen.";k2025;28.11.2024
56;Pertti;Jarla;"Fingerpori 18";;Like;;"Sarjakuva. [Fingerpori](https://www.kirjavinkit.fi/sarjat/fingerpori-2/).";joulukuu;;"Pertti Jarlan valitsemat parhaat palat vuoden Fingerpori-stripeistä.";k2025;29.10.2024
57;Dan;"Barry ja Harry Harrison";"Flash Gordon : Tehtävä Plutossa";;Jalava;;"Sarjakuva. Scifi.";toukokuu;;"Klassikkotieteissarjakuvan kootut sunnuntaisarjat vuosilta 1967–1970. Aikakautta pidetään Flash Gordonin parhaana.";k2025;7.11.2024
58;Jens;Lapidus;"Grand final";;Like;"Petri Stenman";"Dekkari. [Top Dog -sarja](https://www.kirjavinkit.fi/sarjat/top-dog/).";maaliskuu;;"Teddyn on valittava: rikoksen ja veren tie vai paluu kaidalle polulle. Top Dog -sarja saa henkeäsalpaavan koskettavan ja koukuttavan lopetuksen.";k2025;30.10.2024
59;Ruth;Kvarnström-Jones;"Grand-hotellin upeat naiset";;WSOY;"Taina Helkamo";"Historiallinen viihdekirjallisuus. Tukholman helmet -sarja.";huhtikuu;;"Historiallinen hyvänmielen romaani vuoden 1901 Tukholmasta, jossa naisten on pelastettava rahaton Grand-hotelli. Kirja perustuu hotellipioneeri Wilhelmina Skoghin elämään.";k2025;25.10.2024
60;Heli-Maija;Heikkinen;"Grilli : Sitä saa mitä tilaa";;Warelia;;;tammikuu;;"Yhdenyönromaani 1990-luvun alun Suomesta, ruohonjuuritason näkymä lamavuosiin.";k2025;2.12.2024
61;Karissa;Kettu;"H eli Hypatia Aleksandrialaisen matka pimeään";;Teos;;;huhtikuu;;"Esikoisromaani, biofiktio ensimmäisen naismatemaatikon ja filosofin elämästä.";k2025;26.10.2024
62;Hannu;Vuorio;Hagman;;"Saga Egmont";;"Dekkari. Vain e-kirja.";toukokuu;;"Työtön portsari joutuu elämänsä kovimpaan paikkaan Helsinkiin sijoittuvassa rikostrillerissä.";k2025;30.11.2024
63;;"Repo & Räty";"Halkaistu ydin";;"Momentum Kirjat";;Lumevoima-sarja.;maaliskuu;;"Ensimmäinen osa uutta aikuisille tarkoitettua hveossarjaa, jossa kilparatsastuksen inhorealismi ja sotkuiset ihmissuhteet kohtaavat.";k2025;21.12.2024
64;Ruth;Kvarnström-Jones;"Halleholm : Uusia unelmia";;Karisto;"Anna-Mari Raaska";"VIihdekirjallisuus. Halleholm-sarja.";helmikuu;;"Halleholmin rannikkokaupungissa valmistellaan juhannushäitä ja odotetaan esikoista.";k2025;30.10.2024
65;William;Shakespeare;Hamlet;;Oppian;"Marjo Saarinen";"Näytelmä. Selkokirja.";huhtikuu;;"Maailman tunnetuin näytelmä selkomukautettuna kertomuksena.";k2025;25.10.2024
66;Sarah;Brooks;"Harkitsevaisen kulkijan matkaopas Takamaille";;Gummerus;"Terhi Leskinen";"Historiallinen romaani.";tammikuu;;"Unohtumaton junamatka salaperäisen Siperian halki 1800-luvulla. Esikoisromaani.";k2025;1.11.2024
67;Emily;Henry;"Hassu juttu";;Karisto;"Paula Takio";Viihdekirjallisuus.;helmikuu;;"Kämppiksiä yhdistää yksi asia: heidän eksänsä ovat menossa naimisiin. Mutta onko viaton lohtua tuova valeromanssi vain pelkkää valhetta?";k2025;30.10.2024
68;Ulla;Onerva;Hattaradilemma;;Tammi;;"Viihdekirjallisuus. Oikukkaiden romantikkojen piiri -sarja.";helmikuu;;"Nokkela hyvän mielen romaani Jane Austenin sankarittaren mukaan nimetystä Emmasta, joka puolustaa romanttista kirjallisuutta mutta tuntee vetoa sietämätöntä romantiikan vihaajaa kohtaan. Esikoisromaani avaa romanttisen trilogian.";k2025;25.10.2024
69;;;"Hautausmaalla : 20 kokemusta";;Reuna;;Novellit.;heinäkuu;;"Reunan järjestämän kirjoituskilpailun parhaat palat.";k2025;25.10.2024
70;Eveliina;Talvitie;Helga;;Into;;"Historiallinen romaani. Ompelija-trilogia.";helmikuu;;"Omapäisistä käsityöläisnaisista ja muodin voimasta kertovan historiallisen romaanitrilogian avaus.";k2025;11.10.2024
71;Mika;Terho;"Hellät elätit";;Oppian;;;maaliskuu;;"Kielen, ajan ja todellisuuden sirpaleita, lapsiperhearkea ja taiteilijaelämää.";k2025;25.10.2024
72;Mari;Renko;"Helmisormus kirjekuoressa";;Bazar;;"Viihdekirjallisuus. Ikoset-sarja.";tammikuu;;"Kahden aikatason lukuromaani suvussa kulkeneesta sormuksesta ja keltaisesta talosta Pielisen rannalla. Esikoiskirjailijan teos aloittaa uuden nurmelaisen sisaruskatraan rakkauksista kertovan sarjan.";k2025;25.10.2024
73;Jonas;Gardell;"Hempukoiden juhlat";;"Johnny Kniga";"Otto Lappalainen";;maaliskuu;;"Tarina ajasta 1970-luvulla, jolloin homoutta ei enää kielletty laissa ja seksuaalinen vapautuminen oli aluillaan.";k2025;25.10.2024
74;Lee;Child;Henkivartija;;Karisto;"Marja Mutru";"Trilleri. Novellit.";maaliskuu;;"Jack Reacherin luoja kertoo lyhyempiä rikostarinoita tutulla vähäeleisellä tyylillään.";k2025;30.10.2024
75;Annika;Perkiö;"Herra Wolterin karnevaali";;Haamu;;"Kauhu. Romantiikka.";maaliskuu;;"Pararomanttisessa esikoisromaanissa kauhukarnevaali palaa kotikonnuilleen. Kirja kertoo kuplivasta ihastuksesta, horjuvasta mielenterveydestä ja traumoista.";k2025;14.11.2024
76;Tommi;Laiho;Herutus;;"Momentum Kirjat";;;maaliskuu;;"Ilkikurinen satiiri kaikesta, mikä meissä on menossa pieleen.";k2025;21.12.2024
77;Katri;Naukari;"Hienon elämän illuusio";;WSOY;;;maaliskuu;;"Vetävä romaani luksuselämän ja menestyksen tavoittelusta, luokkanoususta, ylikulutuksesta ja uhrauksista.";k2025;26.10.2024
78;JP;Koskinen;"Hiljainen sydän";;Haamu;;"Dekkari. Kauhu.";helmikuu;;"Okkulttinen zombidekkari yhdistelee dekkaria, zombieita ja ikuisen elämän pohdiskelua, kun kuolematon rikostutkija kohtaa murhasarjan, jossa on jotain huolestuttavan tuttua.";k2025;14.11.2024
79;"J. P. ";Laitinen;Hirviö;;Teos;;;tammikuu;;"Päiväkirjaromaani, jossa yhden ihmisen eksistentiaalinen kriisi peilautuu koko planeetan kohtaloon.";k2025;26.10.2024
80;Nita;Prose;Hotellivieras;;Bazar;"Katariina Kallio";"Dekkari. [Huonesiivooja-sarja](https://www.kirjavinkit.fi/sarjat/huonesiivooja/).";maaliskuu;;"Kuuluisa jännityskirjailija kuolee hotellissa, jonka huonesiivoojana Molly toimii. Molly tietää kirjailijan salaisuudet, mutta Molly ei halua palata vanhoihin muistoihin, joista on yrittänyt päästä eroon.";k2025;26.10.2024
81;Eva-Stina;Byggmästar;"Hundarna sover i mitt hjärta men jag är vaken";;"Schildts & Söderströms";;Runot.;tammikuu;;"Runoilijalla on monta roolia tässä kokoelmassa, jossa sydämessä nukkuvat koirat.";k2025;5.11.2024
82;Jukka;Hakala;Hybris;;WSOY;;;helmikuu;;"Nostalginen matka punkin nousuun ja vuosituhannen vaihteen dot.com-kuplaan.";k2025;26.10.2024
83;Christian;Rönnbacka;Hydra;;Bazar;;"Dekkari. Henna Björk -sarja.";toukokuu;;"Hybridiuhat räjähtävät käsiin ja nuori mutta kovissa liemissä keitetty supon agentti joutuu päättämään, kuka on liittolainen, kuka vihollinen.";k2025;25.10.2024
84;Seppo;"Mustaluoto ja Tjörvi Einarsson";Hylkeenmetsästäjä;;Otava;;"Jännityskirjallisuus. Reimar-sarja.";tammikuu;;"Suomalainen ja islantilainen poliisi tutkivat erikoisella tavalla ammutun miehen murhaa. Kirjasarja tarjoaa rosoista ja toiminnantäyteistä kerrontaa.";k2025;30.10.2024
85;Abdulrazak;Gurnah;Hylkääminen;;Tammi;"Einari Aaltonen";"[Keltainen kirjasto](https://www.kirjavinkit.fi/sarjat/keltainen-kirjasto/).";maaliskuu;;"Kuvaus kolonialismin henkilökohtaisista ja poliittisista seurauksista 1800-luvun Mombasasta 1950-luvun Sansibariin.";k2025;25.10.2024
86;Virginie;Grimaldi;"Hyvä elämä";;Otava;"Susanna Tuomi-Giddings";Viihdekirjallisuus.;tammikuu;;"Sisarukset palaavat Baskimaahan tyhjentämään isoäidin kotia. Tarina sisaruudesta, naiseudesta ja elämän jättämistä arvista.";k2025;30.10.2024
87;Rebekka;Härkönen;Hyväntekijät;;Bazar;;"Dekkari. Walta-sarja.";helmikuu;;"Uutistoimituksen sykkeeseen sijoittuvan dekkarisarjan kolmas osa tunkeutuu hyväntekeväisyyssäätiön julkisivun pimeälle puolelle.";k2025;26.10.2024
88;Kaisu;Tuokko;"Hämnden i Kristinestad";;Förlaget;"Mattias Huss";"Dekkari. Kristinestadsmodern-sarja.";maaliskuu;;"Esikoisteos, ilmestyi suomeksi 2023 (Kosto). Poliisi ja toimittaja tutkivat murhia Kristiinankaupungissa.";k2025;5.11.2024
89;Eva-Maria;Bast;"Hänen majesteettinsa Elisabet II";;Bazar;"Hanna Fauster";"Historiallinen romaani. Elisabet-sarja.";toukokuu;;"Kuningattaren elämästä kertovan romaanitrilogian kolmannessa osassa käydään läpi 1970- ja 1980-lukua, kun Margaret Thatcher ja prinsessa Diana olivat huomion keskipisteessä.";k2025;25.10.2024
90;Marja-Liisa;Vartio;"Hänen olivat linnut";;"Art House";;"Vain e- ja äänikirja.";helmikuu;;"Vartion mestarillinen pääteos ilmestyi postuumisti 1967 ja kertoo leskiruustinnan ja hänen palvelijattarensa elämästä.";k2025;7.11.2024
91;Veronica;Henry;"Häät rantamajassa";;Bazar;"Laura Kataja";"Viihdekirjallisuus. Rantamaja-sarja. Hyvän mielen kirjasto -sarja.";huhtikuu;;"Sarjan päätösosassa rannalla kuohuvat niin rakkaus kuin menneisyyden salaisuudet, kun Robyn ja Jake suunnittelevat unelmahäitään.";k2025;25.10.2024
92;Anni;Blomqvist;"I stormens spår";;"Schildts & Söderströms";;;helmikuu;;"Uusi painos Myrskyluodon Maijan takana olevasta tositarinasta.";k2025;5.11.2024
93;Anu;Patrakka;Ihailija;;Otava;;"Dekkari. Nelson Monteiro -sarja.";maaliskuu;;"Fadokonsertti Lissabonissa päättyy kuolemaan, jonka juuret näyttävät johtavan neilikkavallankumouksen aikoihin.";k2025;30.10.2024
94;Sophie;Kinsella;"Ihan lopussa";;WSOY;"Kaisa Kattelus";Viihdekirjallisuus.;huhtikuu;;"Itseensä loppuun ajanut nainen suuntaa hermolomalle, jossa vastaan tulee sietämättömän komea ja yhtä lailla uupunut mies, jonka kanssa kipinät alkavat sinkoilla, hyvässä ja pahassa.";k2025;25.10.2024
95;Lucy;Score;"Ihana, kamala elämäni";;Gummerus;"Lauri Sallamo ja Heidi Tihveräinen";Viihdekirjallisuus.;maaliskuu;;"Suurkaupungin nainen muuttaa pikkukaupunkiin etsimään inspiraatiota.";k2025;1.11.2024
96;Clare;Pooley;"Ikä on vain numero";;WSOY;"Ulla Selkälä";Viihdekirjallisuus.;helmikuu;;"Hillitön hyvänmielen romaani, joka osoittaa, että stereotypiat on tehty rikottaviksi. Seniorien iltapäiväkerholaiset ovat villiä väkeä.";k2025;25.10.2024
97;Marja-Leena;Valkonen;"Iltatuulen tarinoita";;Ketunlaulu;;;huhtikuu;;;k2025;28.10.2024
98;Yvonne;Karsten;Invaderad;;"Schildts & Söderströms";;"Projekt Människa -sarja.";toukokuu;;"Vuoden 2087 Helsinkiin sijoittuvassa trilogian kakkososa jatkaa siitä, mihin Infiltrerad jäi.";k2025;5.11.2024
99;Irja;Sinivaara;Irjankirjaimet;;Reuna;;;heinäkuu;;"Kirjailijan omaelämäkerrallista mosaiikkia kasvusta kirjailijaksi.";k2025;25.10.2024
100;Teija;Rantoja;Irtiotto;;Reuna;;;maaliskuu;;"Aikuisen naisen roadtrip on irtiodotto odotuksista, ihmissuhteista ja seksismistä.";k2025;25.10.2024
101;James;Patterson;"Iso paha susi";;"Saga Egmont";"Jorma-Veikko Sappinen";"Dekkari. Vain e-kirja.";huhtikuu;;"Ihmiskaupan julmuus yllättää jopa kaiken nähneen rikostutkijan Alex Cross -sarjan yhdeksännessä osassa.";k2025;30.11.2024
102;Trude;Teige;"Isoäiti tanssi sateessa";;WSOY;"Saara Kurkela";"Historiallinen romaani.";helmikuu;;"Historiallinen lukuromaani toisesta maailmansodasta, suuresta rakkaudesta ja kirvelevästä häpeästä. Kirja herätti kiivasta keskustelua saksalaisten kanssa seurustelleiden norjalaisten naisten kohtelusta.";k2025;26.10.2024
103;Matti;Laine;"Isänsä tytär";;Bazar;;"Toimintatrilleri. Kovaset-sarja.";helmikuu;;"Trillerisarjan avausosassa maalitettuja journalisteja suojeleva Kata Kovanen vastaa avunpyyntöön ja saa maalitaulun suoraan omaan otsaansa.";k2025;26.10.2024
104;Satu;Tähtinen;"Jaarli vailla värejä ja muita arvoituksia";;Otava;;"Viihdekirjallisuus. Moraalisten naisten kirjakerho -sarja.";helmikuu;;"Hekumallisessa historiallisessa viihdesarjassa viktoriaaninen aviovuode on kaikkea muuta kuin kylmä, kun käytännön syistä solmittu järkiavioliitto kuumenee.";k2025;30.10.2024
